day,avg_energy,temperatureMax,humidity,windSpeed,weather_cluster,holiday_ind,year,month
2014-02-16,11.58215902676365,9.98,0.76,3.34,0,0,2014,2
2014-02-17,10.979565988197768,10.67,0.83,4.07,2,0,2014,2
2014-02-18,10.781897981553204,10.13,0.87,3.06,0,0,2014,2
2014-02-19,10.674623602356231,10.13,0.87,3.29,0,0,2014,2
2014-02-20,10.573835396803837,12.5,0.84,5.38,2,0,2014,2
2014-02-21,10.51812649820144,10.15,0.72,5.42,2,0,2014,2
2014-02-22,10.776242109628447,11.63,0.71,4.77,2,0,2014,2
2014-02-23,11.480410763265308,11.94,0.76,7.1,2,0,2014,2
2014-02-24,10.411403084521426,14.23,0.74,5.02,2,0,2014,2
2014-02-25,10.294996596876876,11.43,0.78,5.69,2,0,2014,2
2014-02-26,10.20294532237132,11.29,0.73,3.82,2,0,2014,2
2014-02-27,10.356349899358717,10.31,0.74,4.14,0,0,2014,2
2014-02-28,0.20899659111690394,7.35,0.86,2.24,0,0,2014,2
